epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1886.82,0.87211,1.15643,0.66853,0.00248,0.33117,0.90046,0.85131,0.91097,0.80066,0.90217,0.85143,0.90645,0.73461,0.81772,1.20086,0.72884,0.0029,0,0.0302417,0.0100806,0.0302417,0.0100806,0.0302417,0.0100806,0.0302417,0.0100806
33,1946.26,0.88069,1.14637,0.65572,0.00247,0.30614,0.90089,0.86679,0.91448,0.81202,0.8952,0.86233,0.90536,0.72081,0.79372,1.20215,0.7154,0.00284,0,0.0302108,0.0100703,0.0302108,0.0100703,0.0302108,0.0100703,0.0302108,0.0100703
34,2004.37,0.86611,1.14624,0.67166,0.00237,0.29701,0.91696,0.86749,0.92202,0.81561,0.9128,0.85711,0.91231,0.72645,0.80696,1.18991,0.72628,0.00292,0,0.0301799,0.01006,0.0301799,0.01006,0.0301799,0.01006,0.0301799,0.01006
35,2062.5,0.86244,1.13814,0.6552,0.00244,0.30596,0.92523,0.88163,0.93064,0.82701,0.91834,0.87097,0.9128,0.7419,0.81206,1.18655,0.74656,0.00297,0,0.030149,0.0100497,0.030149,0.0100497,0.030149,0.0100497,0.030149,0.0100497
36,2121.44,0.8772,1.12839,0.65976,0.00232,0.29053,0.88333,0.87116,0.9167,0.81771,0.89856,0.84702,0.90599,0.72798,0.7791,1.19386,0.7182,0.00271,0,0.0301181,0.0100394,0.0301181,0.0100394,0.0301181,0.0100394,0.0301181,0.0100394
37,2178.02,0.84011,1.11287,0.63508,0.00253,0.27686,0.92852,0.85599,0.91626,0.80981,0.9251,0.85129,0.90717,0.71813,0.77617,1.19627,0.69062,0.00276,0,0.0300872,0.0100291,0.0300872,0.0100291,0.0300872,0.0100291,0.0300872,0.0100291
38,2236.59,0.85939,1.12796,0.6444,0.00239,0.29679,0.91115,0.87618,0.92661,0.81847,0.90595,0.86784,0.91343,0.7379,0.79121,1.19176,0.70322,0.00282,0,0.0300563,0.0100188,0.0300563,0.0100188,0.0300563,0.0100188,0.0300563,0.0100188
39,2293.68,0.85067,1.13588,0.63503,0.00247,0.28314,0.91518,0.87735,0.93205,0.8258,0.92792,0.85535,0.92326,0.74322,0.79631,1.16927,0.69715,0.00278,0,0.0300254,0.0100085,0.0300254,0.0100085,0.0300254,0.0100085,0.0300254,0.0100085
40,2352.22,0.85633,1.11883,0.64399,0.00239,0.3129,0.92252,0.87972,0.93408,0.81871,0.9142,0.87082,0.91901,0.71727,0.86539,1.22728,0.74383,0.00301,0,0.0299945,0.00999815,0.0299945,0.00999815,0.0299945,0.00999815,0.0299945,0.00999815
41,2410.96,0.84578,1.09194,0.62198,0.0023,0.30516,0.91909,0.84576,0.93112,0.81172,0.9197,0.83728,0.91291,0.71432,0.82422,1.24638,0.72641,0.00294,0,0.0299635,0.00998785,0.0299635,0.00998785,0.0299635,0.00998785,0.0299635,0.00998785
42,2468.87,0.83291,1.09486,0.61671,0.00233,0.29406,0.92316,0.86535,0.93597,0.83528,0.91609,0.85906,0.92601,0.73399,0.79828,1.26579,0.71474,0.0028,0,0.0299326,0.00997754,0.0299326,0.00997754,0.0299326,0.00997754,0.0299326,0.00997754
43,2525.98,0.83476,1.11147,0.61476,0.0024,0.27746,0.92469,0.87667,0.92759,0.80957,0.91822,0.87342,0.92028,0.75452,0.82112,1.18971,0.71361,0.00312,0,0.0299017,0.00996724,0.0299017,0.00996724,0.0299017,0.00996724,0.0299017,0.00996724
