epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,4457.59,0.39069,0.6041,0.39709,1.07091,0.96202,0.95844,0.97785,0.86527,0.96202,0.95844,0.97479,0.87221,0.38724,0.71145,0.3863,1.11644,0.00953448,0.00953448,0.00953448
86,4509.33,0.38258,0.60735,0.38235,1.06921,0.94146,0.95808,0.9721,0.88614,0.94146,0.95808,0.97152,0.88243,0.36278,0.68964,0.37054,1.07481,0.00952418,0.00952418,0.00952418
87,4560.9,0.37985,0.58197,0.37945,1.06268,0.97467,0.94274,0.97238,0.88107,0.97527,0.9427,0.96724,0.88356,0.36868,0.62925,0.38548,1.09049,0.00951387,0.00951387,0.00951387
88,4612.83,0.37727,0.58271,0.38025,1.06618,0.94598,0.93621,0.97537,0.90225,0.94948,0.93964,0.97652,0.88649,0.34289,0.68607,0.37114,1.05827,0.00950357,0.00950357,0.00950357
89,4665.19,0.36924,0.54718,0.36448,1.04008,0.96615,0.96135,0.96974,0.89242,0.96615,0.96135,0.96974,0.88547,0.3527,0.75409,0.35828,1.06488,0.00949327,0.00949327,0.00949327
90,4715.89,0.36743,0.55443,0.35833,1.05186,0.97767,0.96778,0.97476,0.90237,0.97767,0.96778,0.97446,0.89278,0.35375,0.66469,0.3504,1.08208,0.00948296,0.00948296,0.00948296
91,4767.62,0.37665,0.57802,0.37621,1.05292,0.93871,0.9519,0.97842,0.89573,0.93871,0.9519,0.97668,0.89181,0.33906,0.62836,0.36479,1.05889,0.00947266,0.00947266,0.00947266
92,4819.1,0.37148,0.55591,0.36707,1.05194,0.96254,0.9574,0.9795,0.91041,0.96254,0.9574,0.98029,0.89626,0.33183,0.60136,0.34024,1.05333,0.00946235,0.00946235,0.00946235
93,4871.02,0.3837,0.56055,0.37559,1.05885,0.97319,0.94082,0.97921,0.89742,0.97319,0.94082,0.97921,0.89356,0.34271,0.66183,0.33912,1.05829,0.00945205,0.00945205,0.00945205
94,4922.63,0.36383,0.5498,0.40262,1.05364,0.94246,0.95629,0.97645,0.89219,0.94303,0.94609,0.97301,0.88477,0.3559,0.67717,0.36784,1.08287,0.00944175,0.00944175,0.00944175
